# bin_center  P(e_r)
-0.96000000 0.00000000
-0.88000000 0.06000000
-0.80000000 0.14000000
-0.72000000 0.20000000
-0.64000000 0.14000000
-0.56000000 0.44000000
-0.48000000 0.68000000
-0.40000000 0.64000000
-0.32000000 0.76000000
-0.24000000 0.88000000
-0.16000000 0.94000000
-0.08000000 0.86000000
0.00000000 0.82000000
0.08000000 1.22000000
0.16000000 0.94000000
0.24000000 0.84000000
0.32000000 0.70000000
0.40000000 0.66000000
0.48000000 0.64000000
0.56000000 0.48000000
0.64000000 0.14000000
0.72000000 0.22000000
0.80000000 0.08000000
0.88000000 0.02000000
0.96000000 0.00000000
