# bin_center  P(e_r)
-0.96000000 0.34000000
-0.88000000 0.40000000
-0.80000000 0.40000000
-0.72000000 0.48000000
-0.64000000 0.52000000
-0.56000000 0.52000000
-0.48000000 0.74000000
-0.40000000 0.56000000
-0.32000000 0.62000000
-0.24000000 0.54000000
-0.16000000 0.54000000
-0.08000000 0.38000000
0.00000000 0.42000000
0.08000000 0.40000000
0.16000000 0.46000000
0.24000000 0.56000000
0.32000000 0.48000000
0.40000000 0.66000000
0.48000000 0.50000000
0.56000000 0.58000000
0.64000000 0.68000000
0.72000000 0.44000000
0.80000000 0.44000000
0.88000000 0.40000000
0.96000000 0.44000000
