# maneuverability_ratio reduced_chirality s_L/N
0.1 25 0.0184031999999998
0.1 6.25 0.011943199999999744
0.1 1.25 0.9999367999999986
0.1 0.625 0.9999903999999998
0.1 0.25 0.9999903999999997
0.1 0.125 0.9999936
0.5 25 0.0209248
0.5 6.25 0.015517599999999606
0.5 1.25 0.233776000000002
0.5 0.625 0.46333759999999896
0.5 0.25 0.7779736000000329
0.5 0.125 0.9999599999999988
1.0 25 0.01898079999999992
1.0 6.25 0.022550400000000134
1.0 1.25 0.1281304000000007
1.0 0.625 0.37292511278195273
1.0 0.25 1.0
1.0 0.125 0.9999887943971982
4.0 25 0.022110255127563875
4.0 6.25 0.04172166083041544
4.0 1.25 0.5460018009004514
4.0 0.625 0.5866311999999976
4.0 0.25 0.9986855999999847
4.0 0.125 0.6802543999999938
10.0 25 0.02122960000000013
10.0 6.25 0.07144319999999987
10.0 1.25 0.676069599999999
10.0 0.625 0.8906856000000033
10.0 0.25 0.9948287999999873
10.0 0.125 0.9787112000000111
20.0 25 0.02407200000000007
20.0 6.25 0.11380640000000015
20.0 1.25 0.9980639999999791
20.0 0.625 0.9984951999999793
20.0 0.25 0.9777008000000064
20.0 0.125 0.8942808000000004
