# timestep mean_visual_torque mean_align_torque std_visual_torque std_align_torque
0.000000 0.000000 0.000000 0.000000 0.000000
7000.000000 0.071294 0.252688 0.077609 0.186524
14000.000000 0.063109 0.219788 0.062883 0.169095
21000.000000 0.058892 0.227610 0.051543 0.177007
28000.000000 0.057188 0.214954 0.051040 0.161995
35000.000000 0.055123 0.207207 0.047217 0.157325
42000.000000 0.054699 0.206623 0.047996 0.154385
49000.000000 0.054453 0.223715 0.044940 0.170580
56000.000000 0.055694 0.203928 0.047084 0.147950
63000.000000 0.054851 0.203150 0.045933 0.147654
70000.000000 0.053924 0.204847 0.046297 0.152398
77000.000000 0.053407 0.204657 0.044242 0.155974
84000.000000 0.059477 0.217934 0.049397 0.156613
91000.000000 0.054240 0.208374 0.047671 0.154270
98000.000000 0.058181 0.212785 0.049491 0.165743
105000.000000 0.056003 0.230705 0.050753 0.168318
112000.000000 0.055505 0.207888 0.048433 0.153267
119000.000000 0.052969 0.210574 0.045042 0.151835
126000.000000 0.052796 0.208051 0.047095 0.154961
133000.000000 0.055561 0.213264 0.052126 0.153875
140000.000000 0.056215 0.217575 0.047361 0.158645
147000.000000 0.060810 0.226370 0.057602 0.160538
154000.000000 0.061797 0.209543 0.055614 0.156706
161000.000000 0.056796 0.215253 0.053249 0.157129
168000.000000 0.057357 0.208124 0.051059 0.152091
175000.000000 0.055129 0.205140 0.049702 0.149619
182000.000000 0.058887 0.204195 0.049640 0.155471
189000.000000 0.060329 0.208300 0.051320 0.159313
196000.000000 0.056608 0.204797 0.050153 0.152242
203000.000000 0.059758 0.229525 0.057646 0.154604
210000.000000 0.061649 0.208347 0.054719 0.151675
217000.000000 0.060339 0.208248 0.053727 0.148216
224000.000000 0.065544 0.211313 0.059676 0.156209
231000.000000 0.060590 0.205098 0.054380 0.148229
238000.000000 0.061120 0.216060 0.056591 0.160619
245000.000000 0.061070 0.209045 0.059926 0.152525
252000.000000 0.058554 0.206301 0.051596 0.154087
259000.000000 0.059425 0.204562 0.054417 0.151812
266000.000000 0.056788 0.229618 0.052594 0.167343
273000.000000 0.058225 0.201112 0.058234 0.146120
280000.000000 0.057856 0.212753 0.052950 0.152908
287000.000000 0.060851 0.213892 0.050706 0.165430
