# timestep mean_visual_torque mean_align_torque std_visual_torque std_align_torque
0.000000 0.000000 0.000000 0.000000 0.000000
5000.000000 0.071249 0.229633 0.079295 0.166612
10000.000000 0.057813 0.237012 0.055057 0.171965
15000.000000 0.048322 0.205631 0.049713 0.160041
20000.000000 0.051528 0.221027 0.049073 0.158300
25000.000000 0.054803 0.211172 0.052686 0.152595
30000.000000 0.048730 0.203790 0.046364 0.153414
35000.000000 0.050791 0.213318 0.048758 0.155346
40000.000000 0.051733 0.210967 0.051632 0.155398
45000.000000 0.048407 0.212528 0.042543 0.152471
50000.000000 0.047872 0.204669 0.044246 0.152917
55000.000000 0.049480 0.204487 0.047181 0.144584
60000.000000 0.050407 0.213934 0.046870 0.162214
65000.000000 0.054224 0.202643 0.050283 0.154510
70000.000000 0.050353 0.204720 0.045020 0.147894
75000.000000 0.050367 0.219649 0.047207 0.157991
80000.000000 0.051631 0.212938 0.046531 0.153929
85000.000000 0.051803 0.210802 0.047416 0.152180
90000.000000 0.050309 0.213642 0.047423 0.147912
95000.000000 0.047346 0.213927 0.040654 0.157685
100000.000000 0.053082 0.207345 0.048766 0.149067
105000.000000 0.050238 0.206128 0.045928 0.143622
110000.000000 0.052288 0.212176 0.045860 0.144135
115000.000000 0.052573 0.202911 0.047138 0.147965
120000.000000 0.050455 0.208482 0.049096 0.157438
125000.000000 0.049195 0.201295 0.044897 0.148503
130000.000000 0.049923 0.204504 0.043015 0.149569
135000.000000 0.053535 0.202035 0.051428 0.144562
140000.000000 0.050403 0.204920 0.047255 0.150815
145000.000000 0.056967 0.209489 0.053879 0.149630
150000.000000 0.055034 0.204255 0.048548 0.160325
155000.000000 0.053730 0.204485 0.047865 0.151929
160000.000000 0.052890 0.206939 0.051352 0.151049
165000.000000 0.054417 0.213359 0.049600 0.155443
170000.000000 0.052918 0.208508 0.045467 0.154940
175000.000000 0.053798 0.217214 0.051368 0.155132
180000.000000 0.049758 0.204555 0.048155 0.157064
185000.000000 0.053835 0.206843 0.051878 0.153369
190000.000000 0.053255 0.202656 0.048120 0.155542
195000.000000 0.048719 0.199309 0.045213 0.143761
200000.000000 0.050810 0.208249 0.049659 0.151877
205000.000000 0.053219 0.212969 0.047262 0.150018
210000.000000 0.052136 0.225190 0.047394 0.158540
215000.000000 0.059228 0.210173 0.053328 0.154707
220000.000000 0.055101 0.205674 0.049365 0.156560
225000.000000 0.054902 0.202817 0.051086 0.151792
230000.000000 0.056180 0.215217 0.058388 0.154939
235000.000000 0.052195 0.202102 0.047850 0.155057
240000.000000 0.051448 0.210793 0.047355 0.147862
245000.000000 0.053021 0.204201 0.048128 0.154813
250000.000000 0.055316 0.211656 0.049898 0.155491
255000.000000 0.053792 0.210252 0.047847 0.148301
260000.000000 0.058905 0.209976 0.056202 0.154078
265000.000000 0.057870 0.217124 0.056530 0.157286
270000.000000 0.054866 0.216920 0.052264 0.155452
275000.000000 0.056722 0.203889 0.051635 0.154827
280000.000000 0.059400 0.208880 0.056402 0.153680
285000.000000 0.057423 0.210935 0.060415 0.159062
290000.000000 0.057991 0.208395 0.059467 0.151575
295000.000000 0.055309 0.210120 0.053664 0.152423
300000.000000 0.054987 0.211872 0.049615 0.155148
305000.000000 0.056821 0.204226 0.054265 0.149816
310000.000000 0.054331 0.198536 0.051840 0.150316
315000.000000 0.057914 0.204835 0.057140 0.155722
320000.000000 0.058028 0.204521 0.055726 0.151136
325000.000000 0.052782 0.207364 0.052539 0.150882
