# timestep mean_visual_torque mean_align_torque std_visual_torque std_align_torque
0.000000 0.000000 0.000000 0.000000 0.000000
5000.000000 0.091713 0.482765 0.134071 0.376978
10000.000000 0.076792 0.468555 0.100970 0.362798
15000.000000 0.065677 0.448567 0.078820 0.339854
20000.000000 0.066917 0.451427 0.076466 0.341437
25000.000000 0.058903 0.433801 0.066288 0.339947
30000.000000 0.059504 0.444050 0.066684 0.322670
35000.000000 0.060050 0.437004 0.064886 0.324248
40000.000000 0.056949 0.424053 0.060380 0.339291
45000.000000 0.056031 0.456731 0.057648 0.353631
50000.000000 0.061115 0.443508 0.059345 0.340410
55000.000000 0.056308 0.454849 0.057846 0.321828
60000.000000 0.057371 0.439322 0.060365 0.325638
65000.000000 0.052716 0.471796 0.053464 0.334268
70000.000000 0.056715 0.432825 0.056445 0.325780
75000.000000 0.056975 0.447397 0.054853 0.324844
80000.000000 0.062226 0.456077 0.061209 0.356335
85000.000000 0.059732 0.440968 0.062566 0.328715
90000.000000 0.059908 0.423482 0.060227 0.325035
95000.000000 0.060226 0.448565 0.057832 0.349952
100000.000000 0.059031 0.463933 0.060907 0.348135
105000.000000 0.052526 0.443483 0.052476 0.340549
110000.000000 0.060035 0.427925 0.061983 0.325926
115000.000000 0.057281 0.447092 0.058990 0.325223
120000.000000 0.058427 0.463233 0.059699 0.341910
125000.000000 0.059114 0.427996 0.059447 0.317762
130000.000000 0.057084 0.445766 0.061767 0.334716
135000.000000 0.056284 0.447292 0.059094 0.337700
140000.000000 0.058266 0.440342 0.063185 0.342282
145000.000000 0.056912 0.439281 0.060830 0.323364
150000.000000 0.055566 0.442530 0.057394 0.330729
155000.000000 0.059712 0.432321 0.061856 0.324138
160000.000000 0.059985 0.429519 0.066558 0.339069
165000.000000 0.059624 0.451999 0.061677 0.324251
170000.000000 0.064824 0.437269 0.064785 0.343606
175000.000000 0.065272 0.419195 0.064629 0.322234
180000.000000 0.063649 0.432363 0.064935 0.334203
185000.000000 0.064239 0.417777 0.067078 0.334160
190000.000000 0.067225 0.412785 0.070791 0.340042
195000.000000 0.061361 0.442671 0.067979 0.342509
200000.000000 0.060265 0.440607 0.071786 0.337231
205000.000000 0.064684 0.470413 0.078735 0.339679
210000.000000 0.062188 0.452541 0.067050 0.337635
215000.000000 0.065351 0.435562 0.072727 0.347222
220000.000000 0.061648 0.433224 0.065248 0.334136
225000.000000 0.057437 0.453276 0.059789 0.346792
230000.000000 0.060338 0.421331 0.061921 0.331474
235000.000000 0.060866 0.449116 0.064276 0.341246
240000.000000 0.062820 0.465662 0.061895 0.342422
245000.000000 0.056996 0.387366 0.058032 0.323320
250000.000000 0.061100 0.457153 0.062815 0.353737
255000.000000 0.060010 0.442797 0.061192 0.331308
260000.000000 0.062246 0.444889 0.062204 0.337620
265000.000000 0.061499 0.436179 0.062340 0.327263
270000.000000 0.058861 0.455507 0.062839 0.342124
275000.000000 0.060529 0.440787 0.060183 0.328299
280000.000000 0.058182 0.432865 0.058856 0.337043
285000.000000 0.057970 0.441774 0.060084 0.323853
290000.000000 0.061493 0.458072 0.064348 0.341213
295000.000000 0.059697 0.449733 0.059906 0.335973
300000.000000 0.058139 0.445681 0.060179 0.332107
305000.000000 0.059289 0.457435 0.060694 0.336366
310000.000000 0.063645 0.454449 0.065858 0.357213
315000.000000 0.062574 0.457967 0.065889 0.331913
320000.000000 0.058297 0.462124 0.056681 0.371719
325000.000000 0.062079 0.445775 0.063028 0.324062
330000.000000 0.064685 0.450992 0.066674 0.341734
335000.000000 0.064718 0.435137 0.068363 0.328941
340000.000000 0.058632 0.439077 0.059758 0.338633
345000.000000 0.059520 0.441045 0.064150 0.346307
350000.000000 0.058830 0.421807 0.065377 0.320367
355000.000000 0.056690 0.438986 0.059681 0.326261
360000.000000 0.058489 0.450181 0.060728 0.352871
365000.000000 0.056417 0.448804 0.058980 0.337317
370000.000000 0.053274 0.435302 0.054661 0.333655
375000.000000 0.055343 0.409528 0.054176 0.321561
380000.000000 0.051041 0.442770 0.054388 0.318962
385000.000000 0.052774 0.433578 0.052238 0.325605
390000.000000 0.052927 0.417569 0.056454 0.321533
395000.000000 0.053640 0.408972 0.056922 0.301914
400000.000000 0.050265 0.439471 0.047052 0.324398
405000.000000 0.051283 0.424477 0.049357 0.324504
410000.000000 0.053425 0.448808 0.051560 0.350887
415000.000000 0.058482 0.439338 0.063447 0.326074
420000.000000 0.056224 0.436010 0.059476 0.329704
425000.000000 0.058556 0.449227 0.058000 0.347084
430000.000000 0.058438 0.459152 0.061140 0.339873
435000.000000 0.053916 0.438421 0.051305 0.318360
440000.000000 0.061210 0.458804 0.062208 0.343015
445000.000000 0.053400 0.447932 0.048376 0.337124
450000.000000 0.053424 0.437356 0.053332 0.326445
455000.000000 0.056158 0.444806 0.058720 0.335728
460000.000000 0.056813 0.449991 0.058179 0.324259
465000.000000 0.060477 0.464461 0.060230 0.336439
470000.000000 0.055273 0.451717 0.057025 0.326508
475000.000000 0.056546 0.433022 0.057316 0.325435
480000.000000 0.057881 0.454562 0.055102 0.341784
485000.000000 0.057478 0.432139 0.058780 0.335654
490000.000000 0.055302 0.445760 0.055645 0.347497
495000.000000 0.057780 0.416799 0.056724 0.321664
500000.000000 0.062030 0.454351 0.064922 0.339994
505000.000000 0.064601 0.449211 0.067561 0.335196
510000.000000 0.068042 0.437854 0.069057 0.325737
515000.000000 0.063194 0.444432 0.063427 0.325350
520000.000000 0.062600 0.445198 0.065000 0.315581
525000.000000 0.053051 0.457120 0.056772 0.337604
530000.000000 0.061289 0.417028 0.060655 0.319067
535000.000000 0.061587 0.439918 0.059754 0.321540
540000.000000 0.063536 0.461139 0.063864 0.345869
545000.000000 0.056818 0.475741 0.060698 0.349850
550000.000000 0.059899 0.433953 0.060354 0.325749
555000.000000 0.063120 0.441508 0.064149 0.333416
560000.000000 0.064127 0.473602 0.064336 0.345511
565000.000000 0.062246 0.462411 0.067542 0.353252
570000.000000 0.060333 0.457186 0.063012 0.343386
575000.000000 0.058301 0.440138 0.062306 0.330919
580000.000000 0.052971 0.451636 0.052202 0.342657
585000.000000 0.055074 0.427988 0.057968 0.328892
590000.000000 0.065274 0.430408 0.064473 0.316584
595000.000000 0.062336 0.431072 0.065707 0.329249
600000.000000 0.062901 0.465446 0.065287 0.352361
605000.000000 0.060607 0.428886 0.054442 0.322578
610000.000000 0.057535 0.409622 0.057417 0.315959
615000.000000 0.057627 0.438945 0.052821 0.320743
620000.000000 0.059894 0.447260 0.061292 0.332671
625000.000000 0.056564 0.433653 0.056928 0.334918
630000.000000 0.057547 0.465488 0.056587 0.349746
635000.000000 0.059198 0.444817 0.060093 0.324739
640000.000000 0.061722 0.426076 0.062177 0.330569
645000.000000 0.059203 0.460582 0.058679 0.363525
650000.000000 0.059816 0.453081 0.061165 0.341179
655000.000000 0.061095 0.449614 0.060575 0.331725
660000.000000 0.058924 0.443100 0.061636 0.325783
665000.000000 0.056243 0.426223 0.055029 0.308518
670000.000000 0.059478 0.456568 0.064445 0.344060
675000.000000 0.062854 0.463866 0.064388 0.334675
680000.000000 0.056160 0.452648 0.057732 0.344560
685000.000000 0.058360 0.448118 0.061886 0.334361
690000.000000 0.060842 0.453457 0.059933 0.339440
695000.000000 0.058154 0.423483 0.057324 0.327378
700000.000000 0.058163 0.448586 0.057791 0.348028
705000.000000 0.058369 0.442060 0.059217 0.332604
710000.000000 0.058777 0.415173 0.061120 0.324966
715000.000000 0.058552 0.424684 0.053766 0.318463
720000.000000 0.057836 0.432466 0.055322 0.326134
725000.000000 0.057977 0.430453 0.056020 0.317859
730000.000000 0.057095 0.419466 0.058796 0.329065
735000.000000 0.060057 0.449929 0.059048 0.337323
740000.000000 0.059836 0.465640 0.063409 0.349620
745000.000000 0.059448 0.451669 0.059368 0.333310
750000.000000 0.060826 0.445538 0.061241 0.332206
755000.000000 0.060282 0.445185 0.060520 0.324539
760000.000000 0.059782 0.449938 0.060177 0.323393
765000.000000 0.058692 0.443237 0.058552 0.321718
770000.000000 0.062337 0.447053 0.059400 0.339315
775000.000000 0.060187 0.470807 0.055592 0.353532
780000.000000 0.062252 0.437235 0.058797 0.335492
785000.000000 0.056078 0.444953 0.056256 0.336531
790000.000000 0.054090 0.440074 0.051100 0.331569
795000.000000 0.052536 0.446912 0.052114 0.332889
800000.000000 0.054419 0.429284 0.053220 0.332394
805000.000000 0.057714 0.428407 0.058818 0.326868
810000.000000 0.051841 0.447674 0.054843 0.328338
815000.000000 0.054505 0.424064 0.054014 0.321463
820000.000000 0.059242 0.443340 0.060607 0.311588
825000.000000 0.052453 0.452308 0.055961 0.333018
830000.000000 0.055231 0.472604 0.056557 0.344288
835000.000000 0.057534 0.443014 0.059976 0.338859
840000.000000 0.049930 0.452412 0.050286 0.336099
845000.000000 0.049525 0.427721 0.046678 0.313574
850000.000000 0.050704 0.441693 0.046710 0.336744
855000.000000 0.051568 0.423292 0.049438 0.331531
860000.000000 0.056401 0.461596 0.053466 0.344452
865000.000000 0.054556 0.465309 0.055622 0.356529
870000.000000 0.055835 0.440008 0.057099 0.329332
875000.000000 0.056102 0.417902 0.058393 0.324396
880000.000000 0.056986 0.436859 0.057072 0.317934
885000.000000 0.062503 0.450453 0.062107 0.331100
890000.000000 0.062179 0.423549 0.064238 0.326446
895000.000000 0.058905 0.447498 0.054929 0.324698
900000.000000 0.062301 0.422079 0.060443 0.321731
905000.000000 0.061247 0.445374 0.058643 0.335990
910000.000000 0.058948 0.426794 0.058461 0.319359
915000.000000 0.057750 0.462991 0.053934 0.343413
920000.000000 0.058597 0.424817 0.057400 0.325929
