# DeltaTheta   C(DeltaTheta)
0.0872665 0.964669
0.261799 0.925993
0.436332 0.864466
0.610865 0.770321
0.785398 0.615572
0.959931 0.512976
1.13446 0.335399
1.309 0.180029
1.48353 -0.0185923
1.65806 -0.167172
1.8326 -0.309901
2.00713 -0.483284
2.18166 -0.588938
2.35619 -0.695671
2.53073 -0.774959
2.70526 -0.870124
2.87979 -0.898246
3.05433 -0.825173
3.22886 -0.86807
3.40339 -0.775599
3.57792 -0.711554
3.75246 -0.634227
3.92699 -0.511105
4.10152 -0.404227
4.27606 -0.173476
4.45059 -0.0729536
4.62512 0.0471906
4.79966 0.228052
4.97419 0.366672
5.14872 0.504449
5.32325 0.66743
5.49779 0.74408
5.67232 0.822197
5.84685 0.876253
6.02139 0.941106
6.19592 0.971609
